location_type,country,state,location_name,quarter,from_date,to_date,transaction_category,payment_type,transaction_count,transaction_amount,transaction_amount_crores,avg_transaction_value
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Recharge & bill payments,TOTAL,351300991,1.40374E+11,14037.35504,399.5819937
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Financial Services,TOTAL,1358171,773848137,77.3848137,569.772243
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Others,TOTAL,10027019,4116905196,411.6905196,410.5811703
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Peer-to-peer payments,TOTAL,631031364,2.24392E+12,224391.5932,3555.949926
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Recharge & bill payments,TOTAL,448842692,1.71591E+11,17159.06865,382.2958233
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Merchant payments,TOTAL,363275861,2.26908E+11,22690.8226,624.6168557
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Financial Services,TOTAL,1682062,1751767444,175.1767444,1041.440473
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Others,TOTAL,3779461,1987466180,198.746618,525.8596875
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Peer-to-peer payments,TOTAL,916790263,3.28705E+12,328705.1873,3585.391344
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Merchant payments,TOTAL,672019839,4.05291E+11,40529.12079,603.0941118
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Recharge & bill payments,TOTAL,436172619,2.04262E+11,20426.23557,468.306232
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Financial Services,TOTAL,2531978,2673063433,267.3063433,1055.721429
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Others,TOTAL,5541374,2789907564,278.9907564,503.4685556
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Peer-to-peer payments,TOTAL,1249512647,4.47455E+12,447454.8495,3581.034979
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Merchant payments,TOTAL,1127490136,6.84874E+11,68487.36393,607.4320453
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Recharge & bill payments,TOTAL,479784084,2.27876E+11,22787.58408,474.9549817
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Financial Services,TOTAL,2942567,3259168196,325.9168196,1107.593538
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Others,TOTAL,9556404,5323095366,532.3095366,557.0186617
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Merchant payments,TOTAL,1467948823,8.44467E+11,84446.66339,575.2698055
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Peer-to-peer payments,TOTAL,1447600942,5.17086E+12,517085.6442,3572.017876
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Recharge & bill payments,TOTAL,530118545,2.60182E+11,26018.24407,490.8004883
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Financial Services,TOTAL,3075296,3573884779,357.3884779,1162.127086
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Others,TOTAL,8851525,5199901892,519.9901892,587.4583071
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Peer-to-peer payments,TOTAL,1744272888,6.16317E+12,616316.5773,3533.372453
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Merchant payments,TOTAL,1499626469,1.00353E+12,100353.0942,669.1872697
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Recharge & bill payments,TOTAL,685024821,3.00559E+11,30055.94613,438.7570378
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Financial Services,TOTAL,3397384,3651996523,365.1996523,1074.943699
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Others,TOTAL,9061732,5598131365,559.8131365,617.7771937
national,India,All States,National,Q3 2021,01/07/21,28/09/21,Merchant payments,TOTAL,2316924871,1.42697E+12,142696.5559,615.8877125
national,India,All States,National,Q3 2021,01/07/21,28/09/21,Peer-to-peer payments,TOTAL,2215575286,7.42936E+12,742935.7587,3353.240864
national,India,All States,National,Q3 2021,01/07/21,28/09/21,Recharge & bill payments,TOTAL,714583744,3.49235E+11,34923.45927,488.7245136
national,India,All States,National,Q3 2021,01/07/21,28/09/21,Financial Services,TOTAL,3112160,4043342762,404.3342762,1299.207869
national,India,All States,National,Q3 2021,01/07/21,28/09/21,Others,TOTAL,13558464,7146868847,714.6868847,527.1149333
national,India,All States,National,Q4 2021,01/10/21,28/12/21,Merchant payments,TOTAL,3152394530,1.99586E+12,199585.5822,633.1237423
national,India,All States,National,Q4 2021,01/10/21,28/12/21,Peer-to-peer payments,TOTAL,2716561423,9.20391E+12,920391.0371,3388.073722
national,India,All States,National,Q4 2021,01/10/21,28/12/21,Recharge & bill payments,TOTAL,738096162,4.07267E+11,40726.68948,551.7802635
national,India,All States,National,Q4 2021,01/10/21,28/12/21,Financial Services,TOTAL,4141629,5028434834,502.8434834,1214.120056
national,India,All States,National,Q4 2021,01/10/21,28/12/21,Others,TOTAL,14562602,9296993479,929.6993479,638.4156814
national,India,All States,National,Q1 2022,01/01/22,28/03/22,Merchant payments,TOTAL,3748851071,2.27282E+12,227281.8129,606.2705843
national,India,All States,National,Q1 2022,01/01/22,28/03/22,Peer-to-peer payments,TOTAL,3074250150,1.05059E+13,1050593.68,3417.398159
national,India,All States,National,Q1 2022,01/01/22,28/03/22,Recharge & bill payments,TOTAL,749674246,4.476E+11,44759.98481,597.0591234
national,India,All States,National,Q1 2022,01/01/22,28/03/22,Financial Services,TOTAL,4035100,4921211866,492.1211866,1219.600968
national,India,All States,National,Q1 2022,01/01/22,28/03/22,Others,TOTAL,16393502,8422766458,842.2766458,513.786893
national,India,All States,National,Q2 2022,01/04/22,28/06/22,Merchant payments,TOTAL,4765203787,2.8471E+12,284709.6877,597.4764154
national,India,All States,National,Q2 2022,01/04/22,28/06/22,Peer-to-peer payments,TOTAL,3506141323,1.21235E+13,1212352.47,3457.796929
national,India,All States,National,Q2 2022,01/04/22,28/06/22,Recharge & bill payments,TOTAL,845751926,5.23046E+11,52304.6093,618.4391391
national,India,All States,National,Q2 2022,01/04/22,28/06/22,Financial Services,TOTAL,3272822,3889787480,388.978748,1188.511774
national,India,All States,National,Q2 2022,01/04/22,28/06/22,Others,TOTAL,11241480,6711034131,671.1034131,596.9884865
national,India,All States,National,Q3 2022,01/07/22,28/09/22,Merchant payments,TOTAL,5618132071,3.15161E+12,315161.4768,560.9719971
national,India,All States,National,Q3 2022,01/07/22,28/09/22,Peer-to-peer payments,TOTAL,3957113406,1.28378E+13,1283780.337,3244.234384
national,India,All States,National,Q3 2022,01/07/22,28/09/22,Recharge & bill payments,TOTAL,956164949,6.07049E+11,60704.86997,634.8786372
national,India,All States,National,Q3 2022,01/07/22,28/09/22,Financial Services,TOTAL,3959631,4514223164,451.4223164,1140.061578
national,India,All States,National,Q3 2022,01/07/22,28/09/22,Others,TOTAL,10005043,6725900103,672.5900103,672.2509941
national,India,All States,National,Q4 2022,01/10/22,28/12/22,Merchant payments,TOTAL,6565690145,3.6736E+12,367360.1045,559.514836
national,India,All States,National,Q4 2022,01/10/22,28/12/22,Peer-to-peer payments,TOTAL,4459859921,1.45789E+13,1457887.432,3268.908572
national,India,All States,National,Q4 2022,01/10/22,28/12/22,Recharge & bill payments,TOTAL,991049281,6.49777E+11,64977.68476,655.6453448
national,India,All States,National,Q4 2022,01/10/22,28/12/22,Financial Services,TOTAL,4623387,5360528394,536.0528394,1159.437528
national,India,All States,National,Q4 2022,01/10/22,28/12/22,Others,TOTAL,10013085,7361492607,736.1492607,735.1872681
national,India,All States,National,Q1 2023,01/01/23,28/03/23,Merchant payments,TOTAL,7205999708,3.74599E+12,374599.4748,519.8438662
national,India,All States,National,Q1 2023,01/01/23,28/03/23,Peer-to-peer payments,TOTAL,4792478560,1.59249E+13,1592487.65,3322.889461
national,India,All States,National,Q1 2023,01/01/23,28/03/23,Recharge & bill payments,TOTAL,1076952638,8.29953E+11,82995.28326,770.6493334
national,India,All States,National,Q1 2023,01/01/23,28/03/23,Financial Services,TOTAL,4884759,5673343900,567.33439,1161.437831
national,India,All States,National,Q1 2023,01/01/23,28/03/23,Others,TOTAL,10259195,7571900579,757.1900579,738.059914
national,India,All States,National,Q2 2023,01/04/23,28/06/23,Merchant payments,TOTAL,8529595637,4.27782E+12,427782.1162,501.5268418
national,India,All States,National,Q2 2023,01/04/23,28/06/23,Peer-to-peer payments,TOTAL,5374546962,1.77228E+13,1772277.887,3297.539122
national,India,All States,National,Q2 2023,01/04/23,28/06/23,Recharge & bill payments,TOTAL,1190947064,9.04759E+11,90475.88573,759.6969543
national,India,All States,National,Q2 2023,01/04/23,28/06/23,Financial Services,TOTAL,5195942,6364033676,636.4033676,1224.808452
national,India,All States,National,Q2 2023,01/04/23,28/06/23,Others,TOTAL,9341245,6919677602,691.9677602,740.7660972
national,India,All States,National,Q3 2023,01/07/23,28/09/23,Merchant payments,TOTAL,9868299757,4.68694E+12,468694.4326,474.9495294
national,India,All States,National,Q3 2023,01/07/23,28/09/23,Peer-to-peer payments,TOTAL,5929662466,1.83427E+13,1834268.683,3093.3779
national,India,All States,National,Q3 2023,01/07/23,28/09/23,Recharge & bill payments,TOTAL,1229068434,9.67695E+11,96769.46542,787.3399295
national,India,All States,National,Q3 2023,01/07/23,28/09/23,Financial Services,TOTAL,6273522,8553479441,855.3479441,1363.425432
national,India,All States,National,Q3 2023,01/07/23,28/09/23,Others,TOTAL,8491944,6397985054,639.7985054,753.4181872
national,India,All States,National,Q4 2023,01/10/23,28/12/23,Merchant payments,TOTAL,11107996161,5.41967E+12,541967.258,487.9073148
national,India,All States,National,Q4 2023,01/10/23,28/12/23,Peer-to-peer payments,TOTAL,6643982862,2.05338E+13,2053381.585,3090.588323
national,India,All States,National,Q4 2023,01/10/23,28/12/23,Recharge & bill payments,TOTAL,1247192050,1.07751E+12,107750.6925,863.946274
national,India,All States,National,Q4 2023,01/10/23,28/12/23,Financial Services,TOTAL,7517384,9998159518,999.8159518,1330.005161
national,India,All States,National,Q4 2023,01/10/23,28/12/23,Others,TOTAL,8651416,6391200449,639.1200449,738.7461716
national,India,All States,National,Q1 2024,01/01/24,28/03/24,Merchant payments,TOTAL,12520741960,5.96244E+12,596244.2622,476.2052154
national,India,All States,National,Q1 2024,01/01/24,28/03/24,Peer-to-peer payments,TOTAL,7335480797,2.23275E+13,2232748.016,3043.765061
national,India,All States,National,Q1 2024,01/01/24,28/03/24,Recharge & bill payments,TOTAL,1365204965,1.15034E+12,115033.5013,842.6097494
national,India,All States,National,Q1 2024,01/01/24,28/03/24,Financial Services,TOTAL,7419656,11806228360,1180.622836,1591.209668
national,India,All States,National,Q1 2024,01/01/24,28/03/24,Others,TOTAL,8290191,6518078355,651.8078355,786.2398291
national,India,All States,National,Q2 2024,01/04/24,28/06/24,Merchant payments,TOTAL,14634736361,6.80094E+12,680093.8568,464.7120659
national,India,All States,National,Q2 2024,01/04/24,28/06/24,Peer-to-peer payments,TOTAL,7929923251,2.38178E+13,2381781.832,3003.537054
national,India,All States,National,Q2 2024,01/04/24,28/06/24,Recharge & bill payments,TOTAL,1443979969,1.17903E+12,117902.9035,816.5134284
national,India,All States,National,Q2 2024,01/04/24,28/06/24,Financial Services,TOTAL,8865844,14501331707,1450.133171,1635.640296
national,India,All States,National,Q2 2024,01/04/24,28/06/24,Others,TOTAL,8700101,8229697142,822.9697142,945.9312187
national,India,All States,National,Q3 2024,01/07/24,28/09/24,Merchant payments,TOTAL,15826083595,7.13249E+12,713248.5243,450.6791083
national,India,All States,National,Q3 2024,01/07/24,28/09/24,Peer-to-peer payments,TOTAL,8566984108,2.39639E+13,2396393.875,2797.243283
national,India,All States,National,Q3 2024,01/07/24,28/09/24,Recharge & bill payments,TOTAL,1409788062,1.22478E+12,122478.3541,868.7713947
national,India,All States,National,Q3 2024,01/07/24,28/09/24,Financial Services,TOTAL,10798565,17450358563,1745.035856,1615.988658
national,India,All States,National,Q3 2024,01/07/24,28/09/24,Others,TOTAL,7361054,8309733368,830.9733368,1128.878197
national,India,All States,National,Q4 2024,01/10/24,28/12/24,Merchant payments,TOTAL,17419191808,8.08143E+12,808142.956,463.9382613
national,India,All States,National,Q4 2024,01/10/24,28/12/24,Peer-to-peer payments,TOTAL,9368204284,2.66339E+13,2663386.694,2843.006635
national,India,All States,National,Q4 2024,01/10/24,28/12/24,Recharge & bill payments,TOTAL,1392529171,1.25597E+12,125597.267,901.9363443
national,India,All States,National,Q4 2024,01/10/24,28/12/24,Financial Services,TOTAL,32113340,18162331751,1816.233175,565.5696901
national,India,All States,National,Q4 2024,01/10/24,28/12/24,Others,TOTAL,7217236,9369386297,936.9386297,1298.195916
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2018,01/01/18,28/03/18,Recharge & bill payments,TOTAL,4200,1845307.467,0.184530747,439.3589208
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2018,01/01/18,28/03/18,Peer-to-peer payments,TOTAL,1871,12138655.3,1.21386553,6487.790112
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2018,01/01/18,28/03/18,Merchant payments,TOTAL,298,452507.1686,0.045250717,1518.480432
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2018,01/01/18,28/03/18,Financial Services,TOTAL,33,10601.41993,0.001060142,321.2551495
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2018,01/01/18,28/03/18,Others,TOTAL,256,184689.8663,0.018468987,721.4447902
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2018,01/04/18,28/06/18,Recharge & bill payments,TOTAL,6735,2320944.731,0.232094473,344.6094627
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2018,01/04/18,28/06/18,Peer-to-peer payments,TOTAL,3575,24511925.23,2.451192523,6856.482582
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2018,01/04/18,28/06/18,Merchant payments,TOTAL,603,1024491.013,0.102449101,1698.990072
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2018,01/04/18,28/06/18,Financial Services,TOTAL,59,121336.0271,0.012133603,2056.542832
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2018,01/04/18,28/06/18,Others,TOTAL,368,359838.5054,0.035983851,977.8220255
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2018,01/07/18,28/09/18,Recharge & bill payments,TOTAL,8636,4343504.868,0.434350487,502.9533196
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2018,01/07/18,28/09/18,Peer-to-peer payments,TOTAL,6448,49270781.54,4.927078154,7641.250239
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2018,01/07/18,28/09/18,Merchant payments,TOTAL,945,1627359.839,0.162735984,1722.073904
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2018,01/07/18,28/09/18,Financial Services,TOTAL,42,1481.490704,0.000148149,35.2735882
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2018,01/07/18,28/09/18,Others,TOTAL,194,314343.3941,0.031434339,1620.326774
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2018,01/10/18,28/12/18,Recharge & bill payments,TOTAL,11517,5450549.512,0.545054951,473.2612236
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2018,01/10/18,28/12/18,Peer-to-peer payments,TOTAL,10451,81001456.98,8.100145698,7750.593912
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2018,01/10/18,28/12/18,Merchant payments,TOTAL,1421,3552027.735,0.355202774,2499.667653
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2018,01/10/18,28/12/18,Financial Services,TOTAL,29,76035.78774,0.007603579,2621.923715
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2018,01/10/18,28/12/18,Others,TOTAL,340,468266.0607,0.046826606,1377.25312
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2019,01/01/19,28/03/19,Recharge & bill payments,TOTAL,15263,6611459.873,0.661145987,433.1690934
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2019,01/01/19,28/03/19,Peer-to-peer payments,TOTAL,13119,91808345.87,9.180834587,6998.120731
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2019,01/01/19,28/03/19,Merchant payments,TOTAL,1759,3266589.847,0.326658985,1857.072113
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2019,01/01/19,28/03/19,Financial Services,TOTAL,62,116250.4367,0.011625044,1875.007044
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2019,01/01/19,28/03/19,Others,TOTAL,283,497094.6484,0.049709465,1756.518192
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2019,01/04/19,28/06/19,Recharge & bill payments,TOTAL,14676,7242448.256,0.724244826,493.4892516
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2019,01/04/19,28/06/19,Peer-to-peer payments,TOTAL,14481,107525358.7,10.75253587,7425.271643
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2019,01/04/19,28/06/19,Merchant payments,TOTAL,4031,4702152.617,0.470215262,1166.497796
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2019,01/04/19,28/06/19,Financial Services,TOTAL,124,113278.9137,0.011327891,913.5396267
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2019,01/04/19,28/06/19,Others,TOTAL,377,671471.2226,0.067147122,1781.090776
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2019,01/07/19,28/09/19,Recharge & bill payments,TOTAL,16219,8171737.706,0.817173771,503.8373331
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2019,01/07/19,28/09/19,Peer-to-peer payments,TOTAL,13767,101079821.1,10.10798211,7342.18211
